,n1,n4,n31,n54,n105,n114,n163,n188,n215,n229,n288,n296,n332,n342,n410,n415,n429,n458,n469,n495,n506,n516,n519,n549,n613,n636,n644,n679,n722,n726,n740,n752,n769
n46,0.0018046603867129438,0.0017749132374813754,0.0017352503718393478,0.2699305899851265,0.07622706990580067,0.08694595934556297,0.17574615765989113,0.1673277144273675,0.0,0.18116509667823516,0.10317302925136346,0.06687654933068916,0.10674268715914728,0.1983589489340605,0.5804511650966782,0.19239464551313837,0.2673673772930094,0.1961973227565694,0.07560237977193866,0.05913237481408009,0.087337630143778,0.10377293009419934,0.17020327218641543,0.12065939514129918,0.17994050570153694,0.14682201289043145,0.14395141298958863,0.10844819038175506,0.07447694595934538,0.091070897372335,0.03921170054536398,0.09262270699058037,0.06907783837382243
n47,0.001814576103123456,0.0017798710956866298,0.0017501239464551108,0.27084779375309875,0.07647000495785815,0.08722855726326255,0.17630639563708494,0.16784333168071403,0.0,0.18167079821517118,0.10341596430342097,0.06706494794248889,0.10712940009915721,0.1990827962320278,0.5693455627169063,0.19301437778879532,0.26808130887456616,0.196772434308379,0.07586514625681719,0.05930589985126402,0.08759543877045128,0.10405057015369364,0.17078334159643035,0.12101140307387233,0.18051065939514133,0.14726822012890445,0.14424392662369867,0.10867625185919683,0.07470500743678714,0.09135845314823982,0.03933068914229011,0.09286564204263789,0.06926623698562215
n48,0.0017699553792761581,0.0017352503718393302,0.0017005453644025638,0.2637778879524046,0.07453148239960337,0.0849925632126924,0.1722756569162124,0.16399603371343593,0.0,0.1777640059494301,0.10140803173029253,0.06553792761527023,0.10447198810114035,0.1943827466534458,0.6384531482399604,0.18840356965790778,0.2618492811105603,0.19219633118492832,0.07406544372830953,0.05793753098661358,0.08549826474962825,0.10164600892414476,0.16654437283093707,0.11828953891918714,0.17630143777887938,0.1440158651462569,0.1412444224095192,0.1063361427863163,0.0730490827962319,0.08933068914229042,0.038299454635597,0.09091224590976725,0.06772434308378775
n50,0.0016360932077342592,0.0016311353495289784,0.001566683192860658,0.2427119484382748,0.06900842835894903,0.07891918691125463,0.1589985126425386,0.15150223103619248,0.0,0.16389687654933083,0.09373822508676245,0.06048587010411499,0.09664352999504223,0.17932573128408547,0.6235200793257312,0.17373822508676273,0.24095190877540892,0.1772186415468518,0.06853743182944978,0.05366881507188878,0.07901834407535964,0.0939811601388199,0.15367873078829958,0.10923153197818544,0.16284085275161123,0.13292017848289542,0.1304809122459099,0.09823500247892919,0.06760039662865637,0.08261774913237475,0.035523054040654076,0.08401586514625693,0.0626375805651958
n55,0.0016807139315815588,0.0016509667823499958,0.0015815567674764349,0.2478681209717403,0.0702974714923154,0.08043133366385749,0.16215666831928627,0.15445215666831938,0.0,0.16747149231532005,0.0954933068914228,0.06169062964799206,0.09864154685176013,0.18311353495290053,0.6617451660882498,0.17710956866633637,0.24590480912245902,0.1808031730292514,0.06982647496281619,0.05470996529499238,0.08062469013386231,0.09572632622706981,0.15680713931581572,0.11138324243926626,0.16598909271194826,0.13565195835399113,0.1330738720872585,0.10017848289538922,0.068914229053049,0.08428854734754579,0.036261774913237094,0.08564204263758071,0.06399107585523045
n59,0.0017649975210708986,0.0017203767972235637,0.0016707982151710273,0.26161626177491326,0.07392662369856225,0.08436787307883026,0.1709766980664355,0.1627466534457116,0.0,0.17643529995042165,0.10069905800694097,0.0650322260783342,0.10372830937035205,0.19297471492315332,0.666058502726822,0.18685176003966292,0.259766980664353,0.19062469013386243,0.07344075359444736,0.057550818046603655,0.08489340604858711,0.10080317302925136,0.16517600396628665,0.11741199801685691,0.17485374318294483,0.14289043133366397,0.1403222607833417,0.1056817055032226,0.0724442240951907,0.08872087258304398,0.03806643529995001,0.09025285076846828,0.06730788299454629
n60,0.001913733267228557,0.0018641546851759572,0.001923648983639034,0.2877441745166089,0.07994050570153692,0.09112047595438798,0.184501735250372,0.1753941497273179,0.0,0.18686167575607343,0.10640555280118998,0.0689538919186912,0.1121814576103124,0.2064402578086267,0.30970748636588996,0.20377788795240473,0.27910262766484867,0.20645017352503717,0.0794794248884483,0.062335151214674984,0.09160138820029759,0.1087407040158651,0.17941993058998512,0.1267327714427369,0.188076351016361,0.15118492811105608,0.148482895389192,0.11157659890927123,0.07676747645017332,0.09394149727317784,0.04039662865642004,0.09538423401090762,0.07114030738720868
n61,0.0019186911254338113,0.0018839861179969816,0.0019335647000495427,0.2888745661874072,0.0800793257312841,0.09127416955875088,0.18474467030242953,0.17553296975706503,0.0,0.18662369856222116,0.1062270699058008,0.06883490332176508,0.1123797719385226,0.2064402578086267,0.28536440257808626,0.20437283093703537,0.2792464055528011,0.20684680218145757,0.07958849776896389,0.06241943480416433,0.09179970252850782,0.10895884977689634,0.17977689638076352,0.12686167575607354,0.18819533961328713,0.15098165592464066,0.14828953891918703,0.1113882002974715,0.0766584035696577,0.09379276152702018,0.04033713435795697,0.09525037183936572,0.07100644521566679
n63,0.001893901834407536,0.0018492811105601942,0.0018641546851759783,0.28137332672285587,0.07890431333663853,0.08996033713435822,0.182151710461081,0.17334655428854748,0.0,0.1866385721368369,0.10627664848785334,0.06885969261279135,0.11068418443232528,0.20497768963807636,0.3017005453644025,0.20000991571641072,0.2786316311353494,0.20344075359444716,0.07838373822508686,0.061403073872087016,0.09049578582052564,0.10729796727813584,0.17648983639067917,0.12498760535448707,0.18620723847297982,0.1509965294992564,0.1483490332176501,0.11145761031234507,0.07669310857709448,0.09381755081804646,0.04033217649975172,0.0952850768468025,0.07106593951412986
n65,0.0019186911254338113,0.0018740704015864729,0.001908775409023271,0.28823004462072394,0.08026276648487855,0.09147744174516635,0.18518096182449198,0.17594447198810126,0.0,0.1881060981655925,0.10717897868120983,0.06935547843331685,0.11258800198314332,0.20761527020327225,0.28634110064452156,0.20429846306395652,0.2835052057511154,0.20713931581556763,0.07974714923153207,0.06255825483391149,0.0920228061477443,0.10919682697074858,0.1800099157164105,0.1271442736737731,0.1888299454635598,0.15224095190877548,0.1494645513138326,0.11241943480416468,0.07730292513634089,0.094546355974219,0.040614774417451274,0.0960882498760539,0.07163113534952899
